url,timestamp,status,accept_all_present,reject_all_present,settings_button_present,settings_button_text,preference_center_accessed,total_purposes_count,pre_ticked_non_essential_count,strictly_necessary_count,purposes_json,vendor_count,legal_text_summary,error_log
https://eu.puma.com/ie/en/home,2025-06-16T18:26:50.652834,Partial (Interaction Failed),TRUE,FALSE,FALSE,,FALSE,0,0,0,[],0,"Our website by default only uses cookies and similar technology (hereinafter ""Cookies"") for basic website functions/settings. If you want to stay with this default setting, please click “NECESSARY COOKIES ONLY”. You can also change the default setting and allow cookies for comfort and personalization features and/or targeted advertising. To do this, click on “COOKIE SETTINGS” and select the Cookies you want to activate. Subsequently click “CONFIRM MY CHOICES”. By clicking on “ACCEPT ALL COOKIES” you allow cookies for ALL the purposes described in the ""COOKIE SETTINGS"".For more information, see our Privacy Policy.",['No button with positive settings keywords found.']
https://www.adobe.com/ie/,2025-06-16T18:26:57.408042,Partial (Interaction Failed),FALSE,FALSE,FALSE,,FALSE,0,0,0,[],0,"Adobe and its vendors use cookies and similar technologies to improve your experience and measure your interactions with our websites, products and services. We also use them to provide you more relevant information in searches and in ads on this and other sites. If that’s okay, click “Enable all"". Clicking “Don’t enable” will set only cookies that are strictly necessary. You can also view our vendors and customize your choices by clicking ""Cookie Settings"".",['No button with positive settings keywords found.']
https://www2.hm.com/en_ie/index.html,2025-06-16T18:27:02.331992,Failed,FALSE,FALSE,FALSE,,FALSE,0,0,0,[],0,,['Analysis failed: TimeoutException']
https://www.rte.ie/,2025-06-16T18:27:19.206446,Success,FALSE,FALSE,TRUE,List of Partners (vendors),TRUE,20,0,1,"[{""title"": ""Strictly Necessary Cookies"", ""is_strictly_necessary"": true, ""is_ticked_by_default"": false}, {""title"": ""Performance Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Functional Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Targeting Cookies and Third-Party Embeds"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Store and/or access information on a device18 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Develop and improve services18 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Measure content performance7 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Understand audiences through statistics or combinations of data from different sources12 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Use limited data to select advertising18 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Create profiles for personalised advertising15 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Use profiles to select personalised advertising14 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Create profiles to personalise content4 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Use profiles to select personalised content4 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Measure advertising performance21 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Use precise geolocation data8 partners can use this special feature"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Ensure security, prevent and detect fraud, and fix errors17 partners can use this special purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Deliver and present advertising and content18 partners can use this special purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Match and combine data from other data sources13 partners can use this feature"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Link different devices14 partners can use this feature"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Identify devices based on information transmitted automatically17 partners can use this feature"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",0,"We and our 22 partners store and access personal data, like browsing data or unique identifiers, on your device. Selecting ""I Accept"" enables tracking technologies to support the purposes shown under ""we and our partners process data to provide,"" whereas selecting ""Reject All"" or withdrawing your consent will disable them. If trackers are disabled, some content and ads you see may not be as relevant to you. You can resurface this menu to change your choices or withdraw consent at any time by clicking the [""privacy preferences""] link on the bottom of the webpage [or the floating icon on the bottom-left of the webpage, if applicable]. Your choices will have effect within our Website. For more details, refer to our Privacy Policy.View our Cookie PolicyView our Privacy Policy Use precise geolocation data. Actively scan device characteristics for identification. Store and/or access information on a device. Develop and improve services. Measure content performance. Understand audiences through statistics or combinations of data from different sources. Use limited data to select advertising. Create profiles for personalised advertising. Use profiles to select personalised advertising. Create profiles to personalise content. Use profiles to select personalised content. Measure advertising performance. Use limited data to select content.
List of Partners (vendors)",[]
https://www.did.ie/,2025-06-16T18:27:36.287175,Failed,FALSE,FALSE,FALSE,,FALSE,0,0,0,[],0,,['Analysis failed: TimeoutException']
https://www.amazon.ie/,2025-06-16T18:27:55.542064,Failed,FALSE,FALSE,FALSE,,FALSE,0,0,0,[],0,,['Analysis failed: TimeoutException']
https://www.zalando.ie/,2025-06-16T18:28:12.849537,Failed,FALSE,FALSE,FALSE,,FALSE,0,0,0,[],0,,['Analysis failed: TimeoutException']
https://deliveroo.ie/,2025-06-16T18:28:30.112528,Success,TRUE,FALSE,TRUE,Customise,TRUE,4,0,1,"[{""title"": ""Strictly Necessary Cookies"", ""is_strictly_necessary"": true, ""is_ticked_by_default"": false}, {""title"": ""Analytics Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Functional Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Advertising Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",0,"We and our partners use cookies and similar technologies to analyse traffic, tailor and improve our content and services (like showing you great restaurants and shops we’d think you’d like), serve relevant ads and measure their effectiveness on other apps and websites. To help make ads relevant we may also share your data with advertising partners. You can accept, reject or customise our use of such cookies for these purposes, or select ‘Cookies’ in our Sites footer at any time, to choose which cookies we can use. To learn more see our Cookie Policy.",[]
https://www.irishtimes.com/,2025-06-16T18:28:42.168875,Success,TRUE,FALSE,TRUE,MANAGE SETTINGS,TRUE,11,0,1,"[{""title"": ""Strictly Necessary Cookies"", ""is_strictly_necessary"": true, ""is_ticked_by_default"": false}, {""title"": ""Functional Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Performance Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Targeting Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Social Media Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""IAB Features"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""IAB Special Purposes"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Personalised advertising and content, advertising and content measurement, audience research and services development79 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Store and/or access information on a device70 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Use precise geolocation data30 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Actively scan device characteristics for identification11 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",16,"We and our 80 partners store and access personal data, like browsing data or unique identifiers, on your device. Selecting I ACCEPT enables tracking technologies to support the purposes shown under we and our partners process data to provide. If trackers are disabled, some content and ads you see may not be as relevant to you. You can resurface this menu to change your choices or withdraw consent at any time by clicking the Cookie Settings link on the bottom of the webpage . Your choices will have effect within our Website. For more details, refer to our Privacy Policy.Cookie Policy Use precise geolocation data. Actively scan device characteristics for identification. Store and/or access information on a device. Personalised advertising and content, advertising and content measurement, audience research and services development.
List of Partners (vendors)",[]
https://www.independent.ie/,2025-06-16T18:28:53.989858,Failed,FALSE,FALSE,FALSE,,FALSE,0,0,0,[],0,,['Analysis failed: TimeoutException']
