url,status,total_purposes_count,purposes_json,error_log
https://eu.puma.com/ie/en/home,Partial - No Settings Button,0,[],['No interactive settings button found.']
https://www.adobe.com/ie/,Partial - No Settings Button,0,[],['No interactive settings button found.']
https://www2.hm.com/en_ie/index.html,Partial - No Settings Button,0,[],['No interactive settings button found.']
https://www.rte.ie/,Success,14,"[{""title"": ""Performance Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Functional Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Targeting Cookies and Third-Party Embeds"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Store and/or access information on a device17 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Develop and improve services17 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Measure content performance6 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Understand audiences through statistics or combinations of data from different sources11 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Use limited data to select advertising17 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Create profiles for personalised advertising14 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Use profiles to select personalised advertising13 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Create profiles to personalise content3 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Use profiles to select personalised content3 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Measure advertising performance20 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Use precise geolocation data7 partners can use this special feature"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",[]
https://www.did.ie/,Partial - No Settings Button,0,[],['No interactive settings button found.']
https://www.amazon.ie/,Partial - No Settings Button,0,[],['No interactive settings button found.']
https://www.zalando.ie/,Partial - No Settings Button,0,[],['No interactive settings button found.']
https://deliveroo.ie/,Success,3,"[{""title"": ""Analytics Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Functional Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Advertising Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",[]
https://www.irishtimes.com/,Success,10,"[{""title"": ""Functional Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Performance Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Targeting Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Social Media Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""IAB Features"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""IAB Special Purposes"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Personalised advertising and content, advertising and content measurement, audience research and services development77 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Store and/or access information on a device68 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Use precise geolocation data29 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Actively scan device characteristics for identification11 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",[]
https://www.independent.ie/,Partial - No Settings Button,0,[],['No interactive settings button found.']
