url,timestamp,status,cmp_vendor,initial_banner_found,accept_all_present,reject_all_present,settings_button_present,settings_button_text,preference_center_accessed,total_purposes_count,pre_ticked_non_essential_count,strictly_necessary_count,purposes_json,compliance_score,error_log,legal_text_summary,vendor_count,data_retention_mentioned,user_rights_mentioned,legitimate_interest_present,purpose_categories,dark_pattern_score,legal_readability_score,has_granular_control,gdpr_article_13_compliance
https://eu.puma.com/ie/en/home,2025-06-16T02:44:16.000000,Success,OneTrust,TRUE,TRUE,TRUE,TRUE,Cookie Settings,TRUE,8,0,1,"[{""title"": ""Strictly Necessary Cookies"", ""is_strictly_necessary"": true, ""is_ticked_by_default"": false}, {""title"": ""Performance Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Analytics Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Functional Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Marketing Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Targeting Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Social Media Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Personalization Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",1,[],"We use cookies and similar technologies to improve your experience and measure your interactions with our websites, products and services.",30,TRUE,TRUE,TRUE,"[""dpv:ServiceProvision"", ""dpv:Analytics"", ""dpv:Marketing"", ""dpv:ServicePersonalization"", ""dpv:SocialMediaIntegration"", ""dpv:Security"", ""dpv:Unknown""]",0,0.513,TRUE,TRUE
https://www.adobe.com/ie/,2025-06-16T02:44:26.000000,Partial,OneTrust,TRUE,TRUE,FALSE,TRUE,Privacy Settings,TRUE,6,0,1,"[{""title"": ""Strictly Necessary Cookies"", ""is_strictly_necessary"": true, ""is_ticked_by_default"": false}, {""title"": ""Performance Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Analytics Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Functional Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Marketing Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Targeting Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",0.7,"[""No reject all button found""]","We use cookies and similar technologies to improve your experience and measure your interactions with our websites, products and services.",10,FALSE,TRUE,TRUE,"[""dpv:ServiceProvision"", ""dpv:Analytics"", ""dpv:Marketing"", ""dpv:ServicePersonalization"", ""dpv:SocialMediaIntegration"", ""dpv:Security""]",4,0.611,TRUE,FALSE
https://www2.hm.com/en_ie/index.html,2025-06-16T02:44:38.000000,Partial,OneTrust,TRUE,TRUE,FALSE,TRUE,Show details,FALSE,5,0,1,"[{""title"": ""Strictly Necessary Cookies"", ""is_strictly_necessary"": true, ""is_ticked_by_default"": false}, {""title"": ""Performance Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Analytics Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Functional Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Marketing Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",0.5,"[""No reject all button found"", ""Preference center not accessible""]","We use cookies and similar technologies to improve your experience and measure your interactions with our websites, products and services.",49,TRUE,TRUE,TRUE,"[""dpv:ServiceProvision"", ""dpv:Analytics"", ""dpv:Marketing"", ""dpv:ServicePersonalization"", ""dpv:SocialMediaIntegration""]",4,0.854,FALSE,FALSE
https://www.rte.ie/,2025-06-16T02:44:50.000000,Partial,OneTrust,TRUE,TRUE,FALSE,FALSE,,FALSE,3,0,1,"[{""title"": ""Strictly Necessary Cookies"", ""is_strictly_necessary"": true, ""is_ticked_by_default"": false}, {""title"": ""Performance Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Analytics Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",0.5,"[""No reject all button found"", ""No settings button found""]","We use cookies and similar technologies to improve your experience and measure your interactions with our websites, products and services.",88,TRUE,FALSE,TRUE,"[""dpv:ServiceProvision"", ""dpv:Analytics"", ""dpv:Marketing""]",4,0.648,FALSE,FALSE
https://www.did.ie/,2025-06-16T02:44:58.000000,Partial,Cookiebot,TRUE,TRUE,FALSE,TRUE,Manage cookies,TRUE,5,0,1,"[{""title"": ""Strictly Necessary Cookies"", ""is_strictly_necessary"": true, ""is_ticked_by_default"": false}, {""title"": ""Performance Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Analytics Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Functional Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Marketing Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",0.7,"[""No reject all button found""]","This website uses cookies to enhance your shopping experience, personalize content and ads, provide social media features and analyze our traffic.",50,FALSE,TRUE,TRUE,"[""dpv:ServiceProvision"", ""dpv:Analytics"", ""dpv:Marketing"", ""dpv:ServicePersonalization"", ""dpv:SocialMediaIntegration""]",4,0.807,TRUE,FALSE
https://www.amazon.ie/,2025-06-16T02:45:05.000000,Success,OneTrust,TRUE,TRUE,TRUE,TRUE,Cookie Settings,TRUE,8,0,1,"[{""title"": ""Strictly Necessary Cookies"", ""is_strictly_necessary"": true, ""is_ticked_by_default"": false}, {""title"": ""Performance Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Analytics Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Functional Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Marketing Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Targeting Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Social Media Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Personalization Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",1,[],"We use cookies and similar technologies to improve your experience and measure your interactions with our websites, products and services.",70,TRUE,TRUE,TRUE,"[""dpv:ServiceProvision"", ""dpv:Analytics"", ""dpv:Marketing"", ""dpv:ServicePersonalization"", ""dpv:SocialMediaIntegration"", ""dpv:Security"", ""dpv:Unknown""]",0,0.762,TRUE,TRUE
https://www.zalando.ie/,2025-06-16T02:45:21.000000,Partial,OneTrust,TRUE,TRUE,TRUE,TRUE,Show details,FALSE,5,0,1,"[{""title"": ""Strictly Necessary Cookies"", ""is_strictly_necessary"": true, ""is_ticked_by_default"": false}, {""title"": ""Performance Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Analytics Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Functional Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Marketing Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",0.8,"[""Preference center not accessible""]","We use cookies and similar technologies to improve your experience and measure your interactions with our websites, products and services.",50,TRUE,FALSE,TRUE,"[""dpv:ServiceProvision"", ""dpv:Analytics"", ""dpv:Marketing"", ""dpv:ServicePersonalization"", ""dpv:SocialMediaIntegration""]",0,0.697,FALSE,FALSE
https://deliveroo.ie/,2025-06-16T02:45:25.000000,Partial,OneTrust,TRUE,TRUE,TRUE,TRUE,Privacy Settings,TRUE,5,0,1,"[{""title"": ""Strictly Necessary Cookies"", ""is_strictly_necessary"": true, ""is_ticked_by_default"": false}, {""title"": ""Performance Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Analytics Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Functional Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Marketing Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",0.8,[],"We use cookies and similar technologies to improve your experience and measure your interactions with our websites, products and services.",45,FALSE,TRUE,FALSE,"[""dpv:ServiceProvision"", ""dpv:Analytics"", ""dpv:Marketing"", ""dpv:ServicePersonalization"", ""dpv:SocialMediaIntegration""]",0,0.773,TRUE,FALSE
https://www.irishtimes.com/,2025-06-16T02:45:43.000000,Partial,OneTrust,TRUE,TRUE,TRUE,TRUE,Manage cookies,FALSE,4,0,1,"[{""title"": ""Strictly Necessary Cookies"", ""is_strictly_necessary"": true, ""is_ticked_by_default"": false}, {""title"": ""Performance Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Analytics Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Functional Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",0.8,"[""Preference center not accessible""]","We use cookies and similar technologies to improve your experience and measure your interactions with our websites, products and services.",62,FALSE,TRUE,TRUE,"[""dpv:ServiceProvision"", ""dpv:Analytics"", ""dpv:Marketing"", ""dpv:ServicePersonalization""]",0,0.837,FALSE,FALSE
https://www.independent.ie/,2025-06-16T02:45:53.000000,Partial,TrustArc,TRUE,TRUE,FALSE,FALSE,,FALSE,2,0,1,"[{""title"": ""Strictly Necessary Cookies"", ""is_strictly_necessary"": true, ""is_ticked_by_default"": false}, {""title"": ""Performance Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",0.5,"[""No reject all button found"", ""No settings button found""]","We are committed to protecting your privacy. We use cookies to provide you with a better experience, keep you secure while using our services, and to improve our website.",102,TRUE,FALSE,FALSE,"[""dpv:ServiceProvision"", ""dpv:Analytics""]",4,0.833,FALSE,FALSE
